question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
how old was monica lewinsky during the affair,"'Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.'","Guess: 21-22
Probability: 0.9","['Guess', ':', ' ', '21', '-', '22', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.8762365861729776, 0.9999921322487635, 0.9994113336330238, 0.8317941200625597, 0.9122948850314341, 0.7988929813854422, 0.45067895223395904, 0.9999742514560126, 0.9999912977979261, 0.9999363462880797, 0.9858595582538486, 0.9999996423722521, 0.4766038886118982, 0.9999870063564401]",0.8554596520521811,21-22,"['21', '-', '22']",0.8463433065856637,0.9,"{0: ""\n        The response provided is a range of ages, which does not directly answer the question about Monica Lewinsky's age during the affair. The reference answer gives specific dates and years, which can be used to calculate her age during the affair. However, the response does not provide enough information to determine if it is semantically equivalent to the reference answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
how long was frank sinatra famous,"'Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.'","Guess: 60 years
Probability: 0.85","['Guess', ':', ' ', '60', ' years', '\n', 'Probability', ':', ' ', '0', '.', '85', '']","[0.9686531545802447, 0.9999858142961154, 0.9898543737579087, 0.7445783504366922, 0.9959453903257423, 0.9453080643663536, 0.9999914170043663, 0.9999927282861518, 0.9999500538028578, 0.9997348296520499, 0.9999995231630692, 0.03940958216038238, 0.9999921322487635]",0.7562844453191362,60 years,"['60', 'years']",0.861138418521534,0.85,"{0: ""\n        The response provided is a single numerical value, which does not convey the same information as the reference answer. The reference answer provides a historical context and timeline of Frank Sinatra's career, while the response simply states a duration without any context or explanation. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
how much is jk rowling worth,"""The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.""","Guess: $1 billion
Probability: 0.8","['Guess', ':', ' $', '1', ' billion', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9370246268999656, 0.999834326535345, 0.820998578933882, 0.9987696069697352, 0.7972553859293099, 0.9222617635295474, 0.9999675761227764, 0.9999949932351058, 0.9999500538028578, 0.9995281539481159, 0.9999979734461775, 0.6284658767705981, 0.9999922514562127]",0.9233844075786234,$1 billion,"['$', '1', 'billion']",0.8678974155429082,0.8,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer provides a specific figure from a reputable source, while the response simply states a rounded figure without any context or source. The response does not provide enough information to determine its accuracy or reliability. Therefore, it does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how big is auburndale florida,"'According to the U.S Census estimates of 2005, the city had a population of 12,381.'","Guess: 51 sq mi
Probability: 0.8","['Guess', ':', ' ', '51', ' sq', ' mi', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9906864746549731, 0.9999803308534773, 0.9895208978739749, 0.011603543651823107, 0.09698416053469963, 0.9746238566635683, 0.4809807976933338, 0.9996927728618769, 0.9999885560391694, 0.9998918888614018, 0.9995412547886643, 0.9999957084838798, 0.6746219907726277, 0.9999837877990075]",0.5662649775775387,51 sq mi,"['51', 'sq', 'mi']",0.103127897336206,0.8,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer provides information about the population of Auburndale, Florida, while the response provided gives the area size of the city in square miles. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
"how old is kirk douglas, the actor?","'Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.'","Guess: Deceased 
Probability: 1.0","['Guess', ':', ' De', 'ceased', ' \n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9724577234588564, 0.9999541065280365, 0.2009266258495025, 0.9999998807907248, 0.3740825399072664, 0.9988917487288395, 0.9999614968828868, 0.9999082172721178, 0.8931999597025233, 0.9940852188740706, 0.9996587011163146, 0.999843145188874]",0.7960789144192466,Deceased,"['De', 'ceased']",0.4482483707691362,1.0,"{0: '\n        The response does not provide the age of Kirk Douglas, but rather states that he is deceased. This is not semantically equivalent to the reference answer, which would have provided the age of the actor. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how old is the singer bob seger,"'Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .'","Guess: 78 
Probability: 0.85","['Guess', ':', ' ', '78', ' \n', 'Probability', ':', ' ', '0', '.', '85', '']","[0.9747324622808449, 0.9999749666753994, 0.9947133890337606, 0.7560520728600806, 0.3411852611591392, 0.9999618544824983, 0.9999734170346475, 0.9996441677146662, 0.9952185988414551, 0.9999896288992496, 0.05122969043438091, 0.9999581592914675]",0.6952042947008423,78,['78'],0.7560520728600806,0.85,"{0: '\n        The response provided is a single integer, which does not convey any semantic information about the singer Bob Seger. The reference answer, however, provides a detailed description of Bob Seger, including his name, birth date, and profession. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how long was richard nixon a president,"'Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.'","Guess: 2,055 days 
Probability: 0.95","['Guess', ':', ' ', '2', ',', '055', ' days', ' \n', 'Probability', ':', ' ', '0', '.', '95', '']","[0.9501692295851991, 0.9999835493879601, 0.9973975375258418, 0.030084094497555693, 0.9734679578115586, 0.15181405718757943, 0.9976319257756565, 0.29600544657382694, 0.9968526789260868, 0.9999643576942727, 0.9996756175860277, 0.8667247838433882, 0.9999918938339075, 0.5040205862802567, 0.9999064294658248]",0.6056813180301428,"2,055 days","['2', ',', '055', 'days']",0.2580686397541532,0.95,"{0: ""\n        The response provided is a numerical value, which is the duration of Richard Nixon's presidency in days. However, the instruction asks for how long Richard Nixon was a president, not the exact duration. The reference answer provides more context about Richard Nixon's presidency, including his term in office and the fact that he was the only president to resign. Therefore, the response does not fully address the instruction and lacks the necessary context. As a result, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
how old were the twin towers when destroyed,"'The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.'","Guess: 28 years 
Probability: 0.8","['Guess', ':', ' ', '28', ' years', ' \n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.8659614956856833, 0.9999880792130387, 0.9997981002352356, 0.7349686529870131, 0.40940249484042807, 0.342627658964573, 0.9999760395072579, 0.9999816421070834, 0.9998669801283536, 0.9794056024394278, 0.999989509692113, 0.10547411084094152, 0.9999797348316635]",0.6973260273672865,28 years,"['28', 'years']",0.5485417032116993,0.8,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states the opening date of the World Trade Center and the date of its destruction, while the response only provides the age of the towers at the time of their destruction. The response does not provide enough context or information to be considered semantically equivalent to the reference answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how are the # of electrons in each shell determined,"'Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.'","Guess: 2n^2 
Probability: 0.9","['Guess', ':', ' ', '2', 'n', '^', '2', ' \n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9606312873160585, 0.9999532721416702, 0.6818580195740154, 0.9979276776249927, 0.9543779430780372, 0.989691928048173, 0.9999929667012066, 0.2725815501910699, 0.9999804500586102, 0.9999916554191085, 0.9999402797118722, 0.9945736353457936, 0.9999995231630692, 0.49490242779300353, 0.9999893904859]",0.8469877501782911,2n^2,"['2', 'n', '^', '2']",0.9853241079688392,0.9,"{0: '\n        The response provided is a mathematical formula, which does not directly answer the question about how the number of electrons in each shell is determined. The reference answer explains that each shell can contain a fixed number of electrons, providing specific examples for the first four shells. The response does not provide this information and instead offers a formula without context or explanation. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
how many presidents of the us,"'There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.'","Guess: 46
Probability: 0.95","['Guess', ':', ' ', '46', '\n', 'Probability', ':', ' ', '0', '.', '95', '']","[0.968515485113521, 0.9999914170043663, 0.9997560381210483, 0.944258458811541, 0.7759655311462014, 0.9999907017622998, 0.9999916554191085, 0.9999096475223638, 0.7057513531347815, 0.9999984502816872, 0.5852853361694436, 0.9999867679437159]",0.9027649431722122,46,['46'],0.944258458811541,0.95,"{0: '\n        The response provided is a single number, which does not convey the same information as the reference answer. The reference answer provides context and explanation for the number of presidents, whereas the response does not. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how old is beatrice author,"'Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.'","Guess: Diane Guerrero 
Probability: 0.0","['Guess', ':', ' Diane', ' Guerrero', ' \n', 'Probability', ':', ' ', '0', '.', '0', '']","[0.9656947629220848, 0.9997280383804813, 4.76446928787404e-05, 0.16395085550426142, 0.3607345074749809, 0.6025804834950935, 0.9893969526287825, 0.9750243097236523, 0.9657301161361631, 0.6189577843920493, 0.552652534270364, 0.955929250306393]",0.2984485369432448,Diane Guerrero,"['Diane', 'Guerrero']",0.0027948860724021,0.0,"{0: '\n        The response provided does not address the instruction given. The instruction asks for information about Beatrice Arthur, but the response given is Diane Guerrero, who is a different person. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
how are public schools funded,"'State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .'","Guess: property taxes and government allocations
Probability: 0.8","['Guess', ':', ' property', ' taxes', ' and', ' government', ' allocations', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9631022403826174, 0.9999876023871354, 0.12418370845486752, 0.9907058966000261, 0.6187200746652203, 0.8651209353736331, 0.8846994694826809, 0.9060040339791736, 0.9999848606494246, 0.9999938011552557, 0.9999413524701387, 0.9997736728009314, 0.9999998807907248, 0.47057192054245295, 0.9999938011552557]",0.779670140537654,property taxes and government allocations,"['property', 'taxes', 'and', 'government', 'allocations']",0.5663373883100432,0.8,"{1: '\n        The response correctly identifies two primary sources of funding for public schools: property taxes and government allocations. This is consistent with the information provided in the reference answer, which states that state schools are paid for in whole or in part by taxation. Therefore, the response and reference answer are semantically equivalent, fulfilling the criteria for a score of 1. [RESULT] 1'}",1.0
