question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
how old was monica lewinsky during the affair,"'Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.'","Guess: 22
Probability: 0.9","['Guess', ':', ' ', '2', '2', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999951124428961, 1.0, 1.0, 1.0, 0.9999917746265009, 0.9999927282861518, 0.9999995231630692, 1.0, 1.0, 0.9999938011552557, 1.0, 0.9995631696432457, 0.9959297821605785]",0.9996506372003128,22,"['2', '2']",0.9999958873047934,0.9,"{0: ""\n        The response provided is a single number, 22, which does not provide any context or information about Monica Lewinsky's age during the affair. The reference answer, however, provides a detailed explanation of Monica Lewinsky's background, including her age during the affair. The response does not meet the criteria for a score of 1 because it is not semantically equivalent to the reference answer. It lacks the necessary context and information to be considered a complete and accurate response to the instruction. Therefore, the appropriate score for this response is 0. [RESULT] 0""}",0.0
how long was frank sinatra famous,"'Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.'","Guess: 50 years
Probability: 0.8","['Guess', ':', ' ', '5', '0', ' years', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9999963045256735, 1.0, 0.9999948740268749, 0.9045960806581719, 0.9971829364484512, 0.9999889136593714, 0.9999998807907248, 0.9999997615814777, 1.0, 1.0, 1.0, 1.0, 0.9775959364111058, 0.999664657556759]",0.99103313677016,50 years,"['5', '0', 'years']",0.9662175207830782,0.8,"{0: ""\n        The response provided is a numerical value, while the reference answer is a detailed explanation of Frank Sinatra's career and fame duration. The response does not provide any context or details about when Sinatra started his career, his rise to fame, or how long he remained famous. It simply states a duration without any supporting information. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
how much is jk rowling worth,"""The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.""","Guess: 1 billion dollars
Probability: 0.7","['Guess', ':', ' ', '1', ' billion', ' dollars', '\n', 'Probability', ':', ' ', '0', '.', '7', '']","[0.999998927117538, 1.0, 0.9990224865797451, 0.9999899865198352, 0.8782114381173869, 0.7483344688562521, 1.0, 0.9999997615814777, 1.0, 1.0, 1.0, 1.0, 0.43704529616002946, 0.9998415959451853]",0.9146731207801312,1 billion dollars,"['1', 'billion', 'dollars']",0.8694210748713368,0.7,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer provides a specific figure from a reputable source, while the response provided is a rounded figure without any source or context. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how big is auburndale florida,"'According to the U.S Census estimates of 2005, the city had a population of 12,381.'","Guess: 15 square miles
Probability: 0.8","['Guess', ':', ' ', '1', '5', ' square', ' miles', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9999973774024795, 1.0, 0.9998903394839843, 0.9952602801109622, 0.192351849193195, 0.2226818031194619, 1.0, 1.0, 0.9999996423722521, 1.0, 1.0, 1.0, 1.0, 0.1356900976506963, 0.9980727693729644]",0.7091834855350821,15 square miles,"['1', '5', 'square', 'miles']",0.4543907080509159,0.8,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer provides information about the population of Auburndale, Florida, while the response gives the size of the city in square miles. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
"how old is kirk douglas, the actor?","'Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.'","Guess: 103
Probability: 0.9","['Guess', ':', ' ', '1', '0', '3', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999938011552557, 1.0, 0.9999994039539004, 0.9859353381912022, 1.0, 0.9998752034468528, 0.9999996423722521, 0.9999996423722521, 1.0, 1.0, 0.9999971389852362, 1.0, 0.8796177118453301, 0.9947796825048625]",0.9894982781270036,103,"['1', '0', '3']",0.9952482219896198,0.9,"{1: '\n        The response and reference answer are semantically equivalent. Both answers provide the age of Kirk Douglas, which is 103. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
how old is the singer bob seger,"'Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .'","Guess: 77
Probability: 0.9","['Guess', ':', ' ', '7', '7', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999961853172863, 1.0, 1.0, 1.0, 0.9999749666753994, 0.9999833109787883, 0.9999995231630692, 1.0, 1.0, 0.9999985694905718, 1.0, 0.9999244270256573, 0.9820134120527938]",0.9985953464127916,77,"['7', '7']",0.9999874832593654,0.9,"{0: '\n        The response provided is a single integer, which is the age of Bob Seger. However, the instruction asks for information about the singer Bob Seger, not just his age. The reference answer provides a comprehensive description of Bob Seger, including his name, birthdate, and profession. Therefore, the response does not meet the criteria for semantic equivalence with the reference answer, as it only addresses one aspect of the instruction. [RESULT] 0'}",0.0
how long was richard nixon a president,"'Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.'","Guess: 5.5 years
Probability: 0.9","['Guess', ':', ' ', '5', '.', '5', ' years', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999970197767496, 1.0, 1.0, 0.9995674574503621, 0.9999952316511553, 0.9999883176260757, 0.9999992847447459, 1.0, 0.9999998807907248, 1.0, 1.0, 1.0, 1.0, 0.9770020508595899, 0.9990885228486921]",0.998359259341146,5.5 years,"['5', '.', '5', 'years']",0.9998875557770662,0.9,"{0: ""\n        The response provided is a numerical value, which does not convey the same information as the reference answer. The reference answer provides a detailed description of Richard Nixon's presidency, including his term length, while the response only states the duration of his presidency. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
how old were the twin towers when destroyed,"'The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.'","Guess: 28
Probability: 0.95","['Guess', ':', ' ', '2', '8', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '']","[0.9999961853172863, 1.0, 1.0, 0.9999998807907248, 0.9999958276922101, 0.6224592371206372, 0.9999996423722521, 1.0, 1.0, 0.9999898673126559, 1.0, 0.9947005325510446, 0.3208196645928861, 1.0]",0.890966048681649,28,"['2', '8']",0.999997854239414,0.95,"{0: '\n        The response provided is a single number, 28, which does not convey any semantic information about the age of the Twin Towers at the time of their destruction. The reference answer, however, clearly states that the Twin Towers were opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001. The difference in years between these two dates can be calculated to determine the age of the Twin Towers at the time of their destruction. Therefore, the response and the reference answer are not semantically equivalent, and the response does not provide the necessary information to answer the instruction accurately. [RESULT] 0'}",0.0
how are the # of electrons in each shell determined,"'Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.'","Guess: By the shell's principal quantum number
Probability: 0.95","['Guess', ':', ' By', ' the', ' shell', ""'s"", ' principal', ' quantum', ' number', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '']","[0.9999977350285647, 1.0, 0.8785532159044991, 0.9999961853172863, 0.3823937332828298, 0.9723849029249376, 0.9137349857592612, 0.9999936819476217, 1.0, 0.9520239873564869, 0.9999997615814777, 1.0, 1.0, 0.9770226476651188, 1.0, 0.9998765144262002, 0.7772919671343039, 1.0]",0.918334344710443,By the shell's principal quantum number,"['By', 'the', 'shell', ""'s"", 'principal', 'quantum', 'number']",0.8413765706002058,0.95,"{0: '\n        The response does not provide enough information about how the number of electrons in each shell is determined. It only mentions the principal quantum number, which is a part of the answer but not the complete answer. The reference answer provides a clear and comprehensive explanation of how the number of electrons in each shell is determined, including the specific number of electrons each shell can hold. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
how many presidents of the us,"'There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.'","Guess: 46
Probability: 0.9","['Guess', ':', ' ', '4', '6', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999938011552557, 1.0, 1.0, 1.0, 0.9999990463265931, 1.0, 0.9999994039539004, 1.0, 1.0, 0.9975274099865514, 1.0, 0.999954464125005, 0.4378209429934884]",0.93825943574061,46,"['4', '6']",0.999999523163183,0.9,"{0: '\n        The response provided is a single number, which does not provide enough context to determine if it is correct or not. The reference answer provides a clear explanation of the difference between the number of people who have served as president and the number of presidencies, which is necessary to understand the answer. Without this context, the response cannot be considered semantically equivalent to the reference answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how old is beatrice author,"'Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.'","Guess: 45
Probability: 0.1","['Guess', ':', ' ', '4', '5', '\n', 'Probability', ':', ' ', '0', '.', '1', '']","[0.9999961853172863, 1.0, 0.9963442706215974, 0.9956098072451653, 0.9989985729465364, 0.9999998807907248, 0.9999995231630692, 1.0, 1.0, 1.0, 1.0, 0.9934989044135049, 0.9999996423722521]",0.9988013879282206,45,"['4', '5']",0.9973027507479846,0.1,"{0: '\n        The response provided is a single number, 45, which does not provide any context or information about who Beatrice is or what the number refers to. The reference answer, however, provides a comprehensive biography of Beatrice Arthur, including her birth date and death date, which allows us to infer her age at the time of her death. Since the response and reference answer are not semantically equivalent, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how are public schools funded,"'State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .'","Guess: Taxes
Probability: 0.9","['Guess', ':', ' Taxes', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999976158197796, 1.0, 0.041508468001749704, 0.9992900170635235, 0.9999996423722521, 1.0, 1.0, 0.9999996423722521, 1.0, 0.9968262630591976, 0.9995693631612473]",0.7485234184799602,Taxes,['Taxes'],0.0415084680017497,0.9,"{0: '\n        The response ""Taxes"" does not provide a complete answer to the instruction ""how are public schools funded"". While taxes are indeed a source of funding for public schools, the response lacks the necessary context and detail to be considered semantically equivalent to the reference answer. The reference answer provides a more comprehensive explanation of how public schools are funded, including the role of taxation. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how are public schools funded,"'The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.'","Guess: Primarily through local property taxes and state government allocations.
Probability: 0.9","['Guess', ':', ' Prim', 'arily', ' through', ' local', ' property', ' taxes', ' and', ' state', ' government', ' allocations', '.\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999976158197796, 1.0, 0.08787342744927079, 1.0, 0.9947794467206231, 0.7855231477192754, 0.9995563807014128, 1.0, 0.9999924898711539, 0.9997455529365188, 0.9135762675716178, 0.6635928583105668, 0.9859363803758087, 0.9999995231630692, 1.0, 1.0, 1.0, 1.0, 0.9241307132128416, 0.9999134615475723]",0.8490462393007382,Primarily through local property taxes and state government allocations.,"['Prim', 'arily', 'through', 'local', 'property', 'taxes', 'and', 'state', 'government', 'allocations', '.']",0.7480023017415864,0.9,"{1: '\n        The response accurately identifies the primary sources of funding for public schools, which are local property taxes and state government allocations. This is in line with the reference answer, which states that public schools are funded primarily through government allocations. Therefore, the response and reference answer are semantically equivalent, fulfilling the criteria for a score of 1. [RESULT] 1'}",1.0
what happens  to the light independent reactions of photosynthesis?,'The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .',"Guess: Continue at night
Probability: 0.8","['Guess', ':', ' Continue', ' at', ' night', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9999986886995842, 1.0, 0.9748091463476825, 0.5532343087659792, 0.9973575745437878, 0.9999996423722521, 0.9999998807907248, 1.0, 1.0, 1.0, 1.0, 0.6169589226804126, 0.9933070311596692]",0.9181729745916009,Continue at night,"['Continue', 'at', 'night']",0.8132546033343786,0.8,"{0: '\n        The response does not provide any information about the light-independent reactions of photosynthesis. It simply states that they continue at night, which is not accurate. The reference answer correctly explains that the light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
what happens  to the light independent reactions of photosynthesis?,'These reactions take the light-dependent reactions and perform further chemical processes on them.',"Guess: Continue at night
Probability: 0.9","['Guess', ':', ' Continue', ' at', ' night', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999986886995842, 1.0, 0.9748091463476825, 0.5532343087659792, 0.9973575745437878, 0.9999996423722521, 0.9999998807907248, 1.0, 1.0, 1.0, 1.0, 0.3742045023889463, 0.9999415908602125]",0.8839816823930712,Continue at night,"['Continue', 'at', 'night']",0.8132546033343786,0.9,"{0: '\n        The response does not provide any information about what happens to the light independent reactions of photosynthesis. It only states that they continue at night, which is not accurate as these reactions do not require light and can occur both day and night. The reference answer correctly explains that the light independent reactions perform further chemical processes on the products of the light-dependent reactions. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
what did mia hamm do his work,"'Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.'","Guess: Play professional soccer
Probability: 0.95","['Guess', ':', ' Play', ' professional', ' soccer', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '']","[0.9999979734461775, 1.0, 0.86935958214418, 0.4999994626061587, 0.9999997615814777, 1.0, 0.9999997615814777, 1.0, 1.0, 0.9999785427891018, 1.0, 0.9999785427891018, 0.9770186640292617, 1.0]",0.9406591712704804,Play professional soccer,"['Play', 'professional', 'soccer']",0.7575121908369302,0.95,"{0: '\n        The response provided, ""Play professional soccer,"" does not fully capture the essence of Mia Hamm\'s career. While it is true that she played professional soccer, the response lacks specificity about her identity and achievements. The reference answer provides a more comprehensive view, mentioning her name, birthdate, and the fact that she is a retired American professional soccer player. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
what countries are under the buddhism religion,"'This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.'","Guess: Thailand, Bhutan, Sri Lanka, Cambodia, Myanmar
Probability: 0.9","['Guess', ':', ' Thailand', ',', ' Bh', 'utan', ',', ' Sri', ' Lanka', ',', ' Cambodia', ',', ' Myanmar', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999953508594288, 1.0, 0.9987524832614485, 0.9999984502816872, 0.19034393247762513, 1.0, 0.9947799187523881, 0.44037243763913664, 1.0, 0.9997387615048176, 0.3467828385458687, 0.9999545833252356, 0.18234870923938667, 0.9999959469005546, 0.999998927117538, 1.0, 1.0, 0.9999545833252356, 1.0, 0.9706581180771987, 0.9914201337790253]",0.7774967755008607,"Thailand, Bhutan, Sri Lanka, Cambodia, Myanmar","['Thailand', ',', 'Bh', 'utan', ',', 'Sri', 'Lanka', ',', 'Cambodia', ',', 'Myanmar']",0.6206572904388344,0.9,"{0: '\n        The response provided does not match the reference answer. The reference answer mentions countries where Buddhism is predominantly practiced, while the response lists countries where Buddhism is one of the major religions. The response does not specify whether Buddhism is the predominant religion in these countries. Therefore, the response and reference answer are not semantically equivalent. [RESULT] 0'}",0.0
how did wild bill's father die,"""He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).""","Guess: Shot in a gunfight
Probability: 0.6","['Guess', ':', ' Shot', ' in', ' a', ' gun', 'fight', '\n', 'Probability', ':', ' ', '0', '.', '6', '']","[0.9999985694905718, 1.0, 0.042544208566172866, 0.9923620397325471, 0.9999996423722521, 0.9278073754833023, 0.9999961853172863, 0.9999995231630692, 0.9999997615814777, 1.0, 1.0, 1.0, 1.0, 0.6705844110897321, 0.9997965511486373]",0.7845525718807195,Shot in a gunfight,"['Shot', 'in', 'a', 'gun', 'fight']",0.5231103587846467,0.6,"{0: '\n        The response ""Shot in a gunfight"" does not provide enough specificity to be considered semantically equivalent to the reference answer. While it is true that Wild Bill Hickok was indeed shot, the reference answer provides more context, including the location and circumstances of his death. Therefore, the response does not fully meet the criteria for a score of 1. [RESULT] 0'}",0.0
how many land rovers have landed on mars,'There have been four successful robotically operated Mars rovers.',"Guess: 3
Probability: 0.9","['Guess', ':', ' ', '3', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999985694905718, 1.0, 1.0, 0.042906714928588295, 0.9999990463265931, 0.9999996423722521, 1.0, 1.0, 0.9997965511486373, 1.0, 0.7739876282478046, 0.9959272991608074]",0.7526905213847656,3,['3'],0.0429067149285882,0.9,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there have been four successful robotically operated Mars rovers, while the response provided is simply the number 3. The response does not provide any context or explanation as to why the number 3 was given, making it unclear whether this number refers to the number of land rovers, the number of successful missions, or something else entirely. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
