question,target,response,ans_tok,tok_prob,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,infosel_logit,prom46_score,extracted_prom46_score
who is next in line to be the monarch of england,"'Charles, Prince of Wales'",Prince William,"['Prince', ' William', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.8643953818905113, 0.9997700981527674, 0.24674264383353844, 0.9861760781202241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6771779656410217,Prince William,"['Prince', 'William']",0.929621781046182,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly identifies Charles, Prince of Wales as the next in line to be the monarch of England, while the response provided incorrectly identifies Prince William. This discrepancy results in a score of 0. [RESULT] 0'}",0.0
who is in charge of enforcing the pendleton act of 1883,'United States Civil Service Commission',"Office of Personnel Management 
","['Office', ' of', ' Personnel', ' Management', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.7770229046795214, 0.9997605658734923, 0.9980433200460476, 0.9998707938307625, 0.7846376332695324, 0.9987165731915739, 0.9999297906597954, 0.9988567800723357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9394548535346984,Office of Personnel Management,"['Office', 'of', 'Personnel', 'Management']",0.93833037372756,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The Pendleton Act of 1883 established the United States Civil Service Commission, which was responsible for enforcing the act. The Office of Personnel Management did not exist until 1978, and it is not responsible for enforcing the Pendleton Act. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
what is the name of latest version of android,'Oreo',"Android 14  
","['Android', ' ', '1', '4', '  ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9430050533799211, 0.9999742514560126, 0.9999670993193821, 0.9967881223030239, 0.18476802043538562, 0.9932872714495816, 0.9998700787549966, 0.9951019572909703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8022791743278503,Android 14,"['Android', '1', '4']",0.9795671108456656,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is the name of the latest version of Android, which is 'Oreo', while the response provided is 'Android 14'. These two answers are not the same, as the reference answer is the name of the version, while the response provided is the version number. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
why was there so much interest in cuba both before and after the civil war,'sugar markets',"Sugar. 
","['Sugar', '.', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9384624475278535, 0.3059152885698542, 0.7061816938666571, 0.9956054348833627, 0.9998766336062261, 0.9932388164948308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7650156021118164,Sugar.,"['Sugar', '.']",0.5358078111109009,0.0,"{0: '\n        The response ""Sugar"" does not provide a clear explanation as to why there was so much interest in Cuba both before and after the Civil War. While sugar markets were indeed a significant factor in the interest in Cuba, the response lacks context and specificity. The reference answer, ""sugar markets,"" provides a more concise and direct answer to the instruction. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
when did veterans day start being called veterans day,"'June 1, 1954'",1954,"['1', '9', '5', '4', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9974397573362423, 0.9999114353416859, 0.9998444560679898, 0.9999672185211189, 0.154823934537137, 0.9835545605630851, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7304107546806335,1954,"['1', '9', '5', '4']",0.9992901439879266,0.0,"{0: ""\n        The response provided is a year, but the instruction asks for the specific date when Veterans Day started being called Veterans Day. The reference answer provides the exact date, which is 'June 1, 1954'. Therefore, the response does not match the reference answer, and it does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
when did big air snowboarding become an olympic sport,'2018',"1998 
","['1', '9', '9', '8', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.996278951749449, 0.9999952316511553, 0.999848269597189, 0.9997510337869405, 0.46863115067161226, 0.9960148047537948, 0.9999228775396173, 0.9988576126534746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9085450768470764,1998,"['1', '9', '9', '8']",0.9989671597324754,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that big air snowboarding became an Olympic sport in 2018, while the response provided states that it became an Olympic sport in 1998. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
who played in the most world series games,'the New York Yankees',"Yogi Berra  
","['Y', 'ogi', ' Ber', 'ra', '  ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.46846632150020145, 0.9998934382484954, 0.9999907017622998, 1.0, 0.11100476995582846, 0.9966173541477304, 0.9997832053070167, 0.9949684672621062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6902822256088257,Yogi Berra,"['Y', 'ogi', 'Ber', 'ra']",0.827288550193574,0.0,"{0: '\n        The response provided is a player, while the reference answer is a team. The instruction asks for the team that played in the most World Series games, not a player. Therefore, the response and reference answer are not semantically equivalent. [RESULT] 0'}",0.0
who sings i can't stop this feeling anymore,'American rock band REO Speedwagon',"Justin Timberlake 
","['Justin', ' Timberlake', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9857909727547016, 0.9999983310727032, 0.7528773810336167, 0.9981960473475566, 0.9998886709202175, 0.9992662096337633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9510999917984008,Justin Timberlake,"['Justin', 'Timberlake']",0.9928692399008232,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'American rock band REO Speedwagon', while the response is 'Justin Timberlake'. These two answers are not the same artist, and therefore, they cannot be considered semantically equivalent. The response does not match the reference answer, and thus, it does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is the month of may named after,'the Greek Goddess Maia',"Maia  
","['Ma', 'ia', '  ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.8283872443975016, 0.9972313026390032, 0.23317973447053975, 0.9884331770647599, 0.999823243875558, 0.9978047033303006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7581806182861328,Maia,"['Ma', 'ia']",0.9088969638083596,0.0,"{0: ""\n        The response provided is the name of the Greek Goddess Maia, which is indeed the origin of the name of the month of May. However, the response does not explicitly state that the month of May is named after the Greek Goddess Maia. To achieve a score of 1, the response should have been 'the Greek Goddess Maia'. Therefore, the response is not semantically equivalent to the reference answer, and the score is 0. [RESULT] 0""}",0.0
who has the most petroleum in the world,'Venezuela',"Venezuela 
","['Venezuela', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9869920166287314, 0.5314630717287555, 0.974799178076482, 0.9998859297211151, 0.9976568417564052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8740307688713074,Venezuela,['Venezuela'],0.9869920166287314,0.0,"{1: ""\n        The response 'Venezuela' is semantically equivalent to the reference answer 'Venezuela', which means that the response correctly identifies the country with the most petroleum reserves in the world. Therefore, the response meets the criteria specified in the score rubric, and it is deserving of a score of 1. [RESULT] 1""}",1.0
who is the sister of for king and country,'Rebecca St. James',"The Regrettes 
","['The', ' Reg', 'rettes', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.3355705711708101, 0.027115033334924828, 0.9815365624914726, 0.6648003682646675, 0.9965013317142593, 0.9998966562268481, 0.9973771405091721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4803467392921448,The Regrettes,"['The', 'Reg', 'rettes']",0.2074755050952318,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is a person, Rebecca St. James, while the response provided is a band, The Regrettes. This indicates a misunderstanding of the instruction, which asks for the sister of the character from the movie 'For King and Country'. The correct answer is Rebecca St. James, who plays the sister of the main character in the movie. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who developed the first periodic table with 8 columns,'Dmitri Mendeleev',"Mendeleev 
","['M', 'ende', 'le', 'ev', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.17070708023844078, 0.9991871770055522, 0.9998487462893616, 0.9995660281695825, 0.6490703112628146, 0.9952582724294655, 0.9998972521536741, 0.9958892271182431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7585858702659607,Mendeleev,"['M', 'ende', 'le', 'ev']",0.6425560913798672,0.0,"{0: '\n        The response ""Mendeleev"" is not semantically equivalent to the reference answer ""Dmitri Mendeleev"". The response lacks the first name of the scientist, which is crucial for a complete and accurate answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
